comments,description,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,url,views,talk_id
49,"Hooray for technology! It makes everything better for everyone!! Right? Well, no. When a new technology, like ebooks or health trackers, is only available to some people, it has unintended consequences for all of us. Jon Gosier, a TED Fellow and tech investor, calls out the idea of ""trickle-down techonomics,"" and shares powerful examples of how new tech can make things actually worse if it's not equally distributed. As he says, ""the real innovation is in finding ways to include everyone.""",364,TEDGlobal 2014,16-10-2014,29,Jon Gosier,"Jon Gosier: The problem with ""trickle-down techonomics""",1,02-03-2015,"Investor, data scientist, entrepreneur","The problem with ""trickle-down techonomics""","https://www.ted.com/talks/jon_gosier_the_problem_with_trickle_down_techonomics
",741287,1926
83,"The sounds of the rainforest include: the chirps of birds, the buzz of cicadas, the banter of gibbons. But in the background is the almost-always present sound of a chainsaw, from illegal loggers. Engineer Topher White shares a simple, scalable way to stop this brutal deforestation — that starts with your old cell phone.",570,TEDxCERN,24-09-2014,30,Topher White,Topher White: What can save the rainforest? Your used cell phone,1,03-03-2015,Conservation technologist,What can save the rainforest? Your used cell phone,"https://www.ted.com/talks/topher_white_what_can_save_the_rainforest_your_used_cell_phone
",1243218,1927
31,"Performance poet (and math student) Harry Baker spins a love poem about his favorite kind of numbers -- the lonely, love-lorn prime. Stay on for two more lively, inspiring poems from this charming performer.",838,TEDxExeter,11-02-2014,20,Harry Baker,Harry Baker: A love poem for lonely prime numbers,1,04-03-2015,Poet,A love poem for lonely prime numbers,"https://www.ted.com/talks/harry_baker_a_love_poem_for_lonely_prime_numbers
",1369263,1928
121,"Sending an email message is like sending a postcard, says scientist Andy Yen in this thought-provoking talk: Anyone can read it. Yet encryption, the technology that protects the privacy of email communication, does exist. It's just that until now it has been difficult to install and a hassle to use. Showing a demo of an email program he designed with colleagues at CERN, Yen argues that encryption can be made simple to the point of becoming the default option, providing true email privacy to all.",729,TEDGlobal 2014,08-10-2014,34,Andy Yen,Andy Yen: Think your email's private? Think again,1,05-03-2015,Secure email developer,Think your email's private? Think again,"https://www.ted.com/talks/andy_yen_think_your_email_s_private_think_again
",1571516,1929
120,"Throughout her career in banking Ilona Szabó de Carvalho never imagined she'd someday start a social movement. But living in her native Brazil, which leads the world in homicidal violence, she realized she couldn't just stand by and watch drugs and guns tear her country apart. Szabó de Carvalho reveals four crucial lessons she learned when she left her cushy job and took a fearless stand against the status quo.",818,TEDGlobal 2014,28-10-2014,23,Ilona Szabó de Carvalho,Ilona Szabó de Carvalho: 4 lessons I learned from taking a stand against drugs and gun violence,1,06-03-2015,Policy reformer,4 lessons I learned from taking a stand against drugs and gun violence,"https://www.ted.com/talks/ilona_szabo_de_carvalho_4_lessons_i_learned_from_taking_a_stand_against_drugs_and_gun_violence
",1135382,1930
32,"In this short, provocative talk, financier Sangu Delle questions whether microfinance — small loans to small entrepreneurs -- is the best way to drive growth in developing countries. ""We seem to be fixated on this romanticized idea that every poor person in Africa is an entrepreneur,” he says. ""Yet, my work has taught me that most people want jobs.” Delle, a TED Fellow, makes the case for supporting large companies and factories — and clearing away the obstacles to pan-African trade.",353,TEDGlobal 2014,06-10-2014,29,Sangu Delle,"Sangu Delle: In praise of macro -- yes, macro -- finance in Africa",1,09-03-2015,Entrepreneur,"In praise of macro -- yes, macro -- finance in Africa","https://www.ted.com/talks/sangu_delle_in_praise_of_macro_yes_macro_finance_in_africa
",955623,1931
102,"""Architecture is not about math or zoning -- it's about visceral emotions,"" says Marc Kushner. In a sweeping — often funny — talk, he zooms through the past thirty years of architecture to show how the public, once disconnected, have become an essential part of the design process. With the help of social media, feedback reaches architects years before a building is even created. The result? Architecture that will do more for us than ever before.",1085,TED2014,10-03-2014,31,Marc Kushner,Marc Kushner: Why the buildings of the future will be shaped by ... you,1,10-03-2015,Architect,Why the buildings of the future will be shaped by ... you,"https://www.ted.com/talks/marc_kushner_why_the_buildings_of_the_future_will_be_shaped_by_you
",2780484,1932
76,"As a teenager, Ismael Nazario was sent to New York’s Rikers Island jail, where he spent 300 days in solitary confinement -- all before he was ever convicted of a crime. Now as a prison reform advocate he works to change the culture of American jails and prisons, where young people are frequently subjected to violence beyond imagination. Nazario tells his chilling story and suggests ways to help, rather than harm, teens in jail.",683,TEDxNewYork,01-11-2014,25,Ismael Nazario,Ismael Nazario: What I learned as a kid in jail,1,11-03-2015,Prison reform advocate,What I learned as a kid in jail,"https://www.ted.com/talks/ismael_nazario_what_i_learned_as_a_kid_in_jail
",1378025,1933
45,"Shimpei Takahashi always dreamed of designing toys. But when he started work as a toy developer, he found that the pressure to produce squashed his creativity. In this short, funny talk, Takahashi describes how he got his ideas flowing again, and shares a simple word game anyone can play to generate new ideas. (In Japanese with English subtitles.)",340,TEDxTokyo,31-05-2013,29,Shimpei Takahashi,Shimpei Takahashi: Play this word game to come up with original ideas,1,12-03-2015,Toy designer,Play this word game to come up with original ideas,"https://www.ted.com/talks/shimpei_takahashi_play_this_game_to_come_up_with_original_ideas
",1550060,1934
52,"What's the secret to unlocking the creativity hidden inside your daily work, and giving every great idea a chance? Harvard professor Linda Hill, co-author of ""Collective Genius,"" has studied some of the world's most creative companies to come up with a set of tools and tactics to keep great ideas flowing -- from everyone in the company, not just the designated ""creatives.""",1037,TEDxCambridge,12-09-2014,24,Linda Hill,Linda Hill: How to manage for collective creativity,1,13-03-2015,Management professor,How to manage for collective creativity,"https://www.ted.com/talks/linda_hill_how_to_manage_for_collective_creativity
",2009552,1935
62,"Vincent Cochetel was held hostage for 317 days in 1998, while working for the UN High Commissioner on Refugees in Chechnya. For the first time, he recounts the experience — from what it was like to live in a dark, underground chamber, chained to his bed, to the unexpected conversations he had with his captors. With lyricism and power, he explains why he continues his work today. Since 2000, attacks on humanitarian aid workers have tripled — and he wonders what that rise may signal to the world.",1187,TEDxPlaceDesNations,11-12-2014,25,Vincent Cochetel,Vincent Cochetel: I was held hostage for 317 days. Here's what I thought about…,1,16-03-2015,Humanitarian,I was held hostage for 317 days. Here's what I thought about…,"https://www.ted.com/talks/vincent_cochetel_i_was_held_hostage_for_317_days_here_s_what_i_thought_about
",1161560,1936
156,"Everybody knows that most women go a little crazy right before they get their period, that their reproductive hormones cause their emotions to fluctuate wildly. Except: There's very little scientific consensus about premenstrual syndrome. Says psychologist Robyn Stein DeLuca, science doesn't agree on the definition, cause, treatment or even existence of PMS. She explores what we know and don't know about it -- and why the popular myth has persisted.",884,TEDxSBU,19-11-2014,22,Robyn Stein DeLuca,Robyn Stein DeLuca: The good news about PMS,1,17-03-2015,Psychologist,The good news about PMS,"https://www.ted.com/talks/robyn_stein_deluca_the_good_news_about_pms
",1290746,1937
221,"As humans, we can perceive less than a ten-trillionth of all light waves. ""Our experience of reality,"" says neuroscientist David Eagleman, ""is constrained by our biology."" He wants to change that. His research into our brain processes has led him to create new interfaces -- such as a sensory vest -- to take in previously unseen information about the world around us.",1234,TED2015,17-03-2015,32,David Eagleman,David Eagleman: Can we create new senses for humans?,1,18-03-2015,Neuroscientist,Can we create new senses for humans?,"https://www.ted.com/talks/david_eagleman_can_we_create_new_senses_for_humans
",1738331,1938
71,"What we think of as 3D printing, says Joseph DeSimone, is really just 2D printing over and over ... slowly. Onstage at TED2015, he unveils a bold new technique -- inspired, yes, by Terminator 2 -- that's 25 to 100 times faster, and creates smooth, strong parts. Could it finally help to fulfill the tremendous promise of 3D printing?",645,TED2015,16-03-2015,29,Joseph DeSimone,Joseph DeSimone: What if 3D printing was 100x faster?,1,20-03-2015,"Chemist, inventor",What if 3D printing was 100x faster?,"https://www.ted.com/talks/joe_desimone_what_if_3d_printing_was_25x_faster
",2498698,1939
1355,"""Public shaming as a blood sport has to stop,"" says Monica Lewinsky. In 1998, she says, “I was Patient Zero of losing a personal reputation on a global scale almost instantaneously.” Today, the kind of online public shaming she went through has become constant -- and can turn deadly. In a brave talk, she takes a hard look at our online culture of humiliation, and asks for a different way.",1346,TED2015,19-03-2015,41,Monica Lewinsky,Monica Lewinsky: The price of shame,1,21-03-2015,Social activist,The price of shame,"https://www.ted.com/talks/monica_lewinsky_the_price_of_shame
",11443190,1940
185,"When a very young child looks at a picture, she can identify simple elements: ""cat,"" ""book,"" ""chair."" Now, computers are getting smart enough to do that too. What's next? In a thrilling talk, computer vision expert Fei-Fei Li describes the state of the art  -- including the database of 15 million photos her team built to ""teach"" a computer to understand pictures -- and the key insights yet to come.",1078,TED2015,17-03-2015,26,Fei-Fei Li,Fei-Fei Li: How we're teaching computers to understand pictures,1,23-03-2015,Computer scientist,How we're teaching computers to understand pictures,"https://www.ted.com/talks/fei_fei_li_how_we_re_teaching_computers_to_understand_pictures
",2005189,1941
123,"Ten days after 9/11, a shocking attack at a Texas mini-mart shattered the lives of two men: the victim and the attacker. In this stunning talk, Anand Giridharadas, author of ""The True American,"" tells the story of what happened next. It's a parable about the two paths an American life can take, and a powerful call for reconciliation.",1163,TED2015,10-03-2015,20,Anand Giridharadas,Anand Giridharadas: A tale of two Americas. And the mini-mart where they collided,1,24-03-2015,Writer,A tale of two Americas. And the mini-mart where they collided,"https://www.ted.com/talks/anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided
",1287111,1942
108,"Dave Isay opened the first StoryCorps booth in New York’s Grand Central Terminal in 2003 with the intention of creating a quiet place where a person could honor someone who mattered to them by listening to their story. Since then, StoryCorps has evolved into the single largest collection of human voices ever recorded. His TED Prize wish: to grow this digital archive of the collective wisdom of humanity. Hear his vision to take StoryCorps global — and how you can be a part of it by interviewing someone with the StoryCorps app.",1298,TED2015,17-03-2015,30,Dave Isay,Dave Isay: Everyone around you has a story the world needs to hear,1,25-03-2015,Story collector,Everyone around you has a story the world needs to hear,"https://www.ted.com/talks/dave_isay_everyone_around_you_has_a_story_the_world_needs_to_hear
",1839891,1943
51,"Theaster Gates, a potter by training and a social activist by calling, wanted to do something about the sorry state of his neighborhood on the south side of Chicago. So he did, transforming abandoned buildings to create community hubs that connect and inspire those who still live there (and draw in those who don't). In this passionate talk, Gates describes his efforts to build a ""miniature Versailles"" in Chicago, and he shares his fervent belief that culture can be a catalyst for social transformation in any city, anywhere.",1012,TED2015,18-03-2015,21,Theaster Gates,"Theaster Gates: How to revive a neighborhood: with imagination, beauty and art",1,26-03-2015,"Artist, potter, community builder","How to revive a neighborhood: with imagination, beauty and art","https://www.ted.com/talks/theaster_gates_how_to_revive_a_neighborhood_with_imagination_beauty_and_art
",1024661,1944
